㐀	⿱⿰↔⺊⺊一
㔣	⿰⿱田⿰田田力
㔤	⿰⿱宀⿱⿱㇒米田力
㔥	⿰⿱罒⿰⿱厶⺝⿱匕匕力
㔦	⿰⿱⿱䒑土⿱𠆢⿱丶⿸⿰𠄌𫜹力
㔧	⿰⿸虍⿱田皿力
㔨	⿹勹⿱⿰匕⺝
㔩	⿹勹⿱去皿
㔪	⿹勹⿱⺊⿴囗⿻㐅⿳丶⿰丶丶丶
㔫	⿸⿻一丿匕
㔬	⿱匕⿱日十
㔭	⿰匕⿱日⿱一⿺人⺊
㔮	⿰⿱艹⿻⿱口二人⿰⿱厶⺝⿱匕匕
㔯	⿷匚⿱⿰丿㇅口
㔰	⿷匚⿰夕卜
㔱	⿷匚⿻臼人
㔲	⿷匚⿰飠九
㔳	⿷匚⿰飠几
㔴	⿷匚⿱田共
㔵	⿷匚⿱⿰巳巳共
㔶	⿷匚⿰⿱立⿱日十⿱夂⿱工貝
㔷	⿷匚⿱一⿻冂人
㔸	⿷匚⿸⿱㇒丿虎
㔹	⿰十力
㔺	⿱十⿺⿻一乚十
㔻	⿱不十
㔼	⿱⿰扌隹十
㔽	⿱⺊⿴囗口
㔾	㔾
㔿	⿱一⿰𠄌丨
㕀	⿱由㔾
㕁	⿰⿱㐅⿸⿻一丿厶卩
㕂	⿸厂⿱⿵𠆢丶乛
㕃	⿸厂⿱一廾
㕄	⿸厂⿱一幺
㕅	⿸厂⿻日丨
㕆	⿸厂古
㕇	⿸厂立
㕈	⿸厂衣
㕉	⿸厂合
㕊	⿸厂⿺⿻十⺝丶
㕋	⿸厂金
㕌	⿸厂⿱⿱日一寸
㕍	⿸厂隹
㕎	⿸厂⿱去皿
㕏	⿸厂⿰豆⿻十⺀
㕐	⿸厂⿱臼
㕑	⿸厂⿰⿳士口䒑寸
㕒	⿸厂⿱⿱䒑土⿻⿱㇒扌
㕓	⿸厂⿱黑土
㕔	⿸厂⿰⿹耳𤣩⿳⿱十罒一心
㕕	⿱厶厶
㕖	⿱⿱厶⿰厶厶木
㕗	⿺⿱⿱䒑土久厶
㕘	⿱⿱厶⿰厶厶⿱𠆢小
㕙	⿰⿳厶八夊⿷⿱⺈⿸⿻口丿乚丶
㕚	⿻⿴又丶丶
㕛	⿱又又
㕜	⿱⿻口丨又
㕝	⿱古又
㕞	⿰⿸尸巾又
㕟	⿰⿱⺊⿵冂⿻一⿰丨丨又
㕠	⿱⿰冫隹又
㕡	⿰⿳一谷又
㕢	⿰⿳一貝又
㕣	⿱八口
㕤	⿰口九
㕥	⿰口人
㕦	⿱口大
㕧	⿰口尸
㕨	⿰口⿵几丶
㕩	⿰口⿻三丨
㕪	⿰口⿸⿻冖丿乚
㕫	⿰口方
㕬	⿰口⿱八厶
㕭	⿰口⿱㇒大
㕮	⿰口⿱八乂
㕯	⿵⿻冂人口
㕰	⿰口毛
㕱	⿰口⿺⿸⿻一丿乚丶
㕲	⿰口木
㕳	⿰口⿶凵㐅
㕴	⿰口⿱冖几
㕵	⿰口王
㕶	⿰口⿱一𫝀
㕷	⿰口白
㕸	⿰口立
㕹	⿰口⿺⿸⿻一丿又丶
㕺	⿱吅⿱一㇉
㕻	⿱丶⿱不口
㕼	⿰口⿹勹⿺𠃊㐅
㕽	⿰口⿻人⿰𠄌丶
㕾	⿱小⿰口匕
㕿	⿱禾口
㖀	⿰口⿻⿻丨二
㖁	⿰口⿱㐅⿸⿻一丿厶
㖂	⿰口⿻日⿻㇂㇒
㖃	⿰口⿸⿸⿱㇒丿一口
㖄	⿰口⿻⿲丿丨丨
㖅	⿰口⿵⿰丿戈一
㖆	⿰口⿻口⿻一⿰丨丨
㖇	⿰口⿱一⿱㇒⿵冂⿰丨丨
㖈	⿱⿱⿻土㇒匕口
㖉	⿰口⿱𠆢止
㖊	⿰口⿱𫜹寸
㖋	⿱⿱𠆢⿰丿丨⿰口匕
㖌	⿱⿰亻九⿰口匕
㖍	⿱⿻十⺀⿰口匕
㖎	⿱⿰口匕⿱𠆢⿰丿丨
㖏	⿰口⿱日土
㖐	⿱吅⿻丿
㖑	⿰口⿹戈廾
㖒	⿰口⿱丷⿹⿻弓丨㇒
㖓	⿰口⿱夂⿻三丨
㖔	⿰口⿱⿱㇒大口
㖕	⿰口辛
㖖	⿱辛口
㖗	⿰口⿱山⿱⿵𠆢丶乛
㖘	⿰口⿸厂⿱二
㖙	⿱⿰力口⿰口匕
㖚	⿱⿰亻寸⿰口匕
㖛	⿱古⿰口匕
㖜	⿳亠口⿰口匕
㖝	⿱⿻一木⿰口匕
㖞	⿰口⿱口⿻冂人
㖟	⿰口⿳爫冖又
㖠	⿰口⿱大示
㖡	⿰口⿱亠⿰亻⿴夂丶
㖢	⿰口⿸广⿰止匕
㖣	⿰口⿱立口
㖤	⿰口⿶凵⿱乛⿰冫⿰亅
㖥	⿰口⿴囗禾
㖦	⿰口⿻木日
㖧	⿰口⿱氏日
㖨	⿰口⿱⿰冫⿰亅
㖩	⿰口⿰耳又
㖪	⿰口⿹戈⿱口一
㖫	⿰口⿱夊
㖬	⿰口⿱臼又
㖭	⿰口⿱⿱一大⺗
